tag mll pt1 eta1 pt2 eta2 pt3 eta3 pt4 eta4 met
m 90.4165944647 35.657 0.15015 20.257 2.071 NA NA NA NA 781.557
g 146.47841763 55.5859 0.340126 58.8345 1.20317 NA NA NA NA 807.209
g 102.337214697 52.1556 0.673538 42.0566 1.5656 NA NA NA NA 206.646
e 86.8519811711 63.04 1.03162 20.7877 2.36153 NA NA NA NA 576.424
m 1064.18774432 392.053 0.953547 389.812 0.698721 NA NA NA NA 522.147
g 101.408772497 59.9397 0.531808 39.6097 0.076607 NA NA NA NA 394.116
e 90.4814377001 48.3747 1.67098 39.3872 2.21551 NA NA NA NA 211.821
m 94.049584175 48.2584 1.07413 45.2952 1.2978 NA NA NA NA 284.948
m 9.34954637581 58.0879 1.04579 24.1183 0.821882 NA NA NA NA 508.354
m 3.11924896433 24.7867 0.525078 23.3315 0.64491 NA NA NA NA 787.714
m 105.445398462 38.1927 2.00151 37.2985 0.226591 NA NA NA NA 769.207
m 88.7508211664 56.7692 0.651508 32.5753 1.65669 NA NA NA NA 969.979
m 70.1286620704 28.8544 2.47191 20.2083 0.590334 NA NA NA NA 279.893
e 87.2856953851 54.0037 0.886398 31.8448 2.03989 NA NA NA NA 261.362
m 91.9604079624 60.1093 2.31152 36.1802 2.45744 NA NA NA NA 622.454
e 92.8091662616 28.3206 0.347088 24.1835 2.00249 NA NA NA NA 405.213
e 91.442308726 97.0317 0.797051 17.281 0.262114 NA NA NA NA 310.744
g 112.075336612 74.212 1.90568 36.6072 1.08294 NA NA NA NA 648.052
e 66.4295676539 22.0338 0.735888 17.1603 1.55447 NA NA NA NA 357.65
e 92.5103688403 39.4353 0.680089 36.3227 1.99471 NA NA NA NA 416.92
e 93.5723680989 37.4337 0.393783 34.2526 1.13622 NA NA NA NA 433.58
e 91.259887704 48.5565 1.02057 43.0252 0.960595 NA NA NA NA 503.269
g 123.385009498 59.5566 1.80698 39.8391 0.374974 NA NA NA NA 712.116
m 89.9251190276 127.636 0.649654 23.1815 0.703972 NA NA NA NA 721.029
e 996.974346742 317.614 1.06127 318.265 0.980833 NA NA NA NA 1072.31
e 88.4196389648 46.0234 0.08029 38.2832 0.570832 NA NA NA NA 221.693
g 107.029404227 52.9209 1.65221 36.7554 0.367634 NA NA NA NA 232.075
e 93.4894587164 50.991 1.97074 19.8874 0.0677019 NA NA NA NA 233.891
e 88.6890450873 49.3174 0.260216 40.3851 0.282166 NA NA NA NA 564.04
e 92.1552948056 39.101 0.459249 37.5629 0.794887 NA NA NA NA 563.68
g 111.572409651 50.018 0.59435 35.6122 2.18597 NA NA NA NA 442.155
m 9.60209602227 36.8434 1.28499 26.7037 1.41765 NA NA NA NA 772.961
m 90.9622863579 34.6234 0.338157 33.409 1.26504 NA NA NA NA 645.479
g 114.621740918 69.274 1.16555 51.798 0.101317 NA NA NA NA 736.529
m 78.116225025 30.9514 1.12783 22.9444 0.735663 NA NA NA NA 268.397
g 148.637312339 139.491 0.0655567 35.4309 0.866056 NA NA NA NA 612.869
e 91.8915690034 37.6962 0.245792 25.5237 2.16113 NA NA NA NA 586.453
e 97.4252531107 49.6277 0.578095 46.1877 0.965185 NA NA NA NA 169.269
m 91.6659748636 48.1568 0.339861 43.5471 0.253603 NA NA NA NA 584.856
m 87.0881921467 58.1879 2.09536 22.7998 0.594428 NA NA NA NA 928.347
g 119.79481844 53.6664 0.66987 45.9649 1.93828 NA NA NA NA 412.815
m 91.0252420332 45.7692 0.509962 45.0928 0.670459 NA NA NA NA 331.47
m 92.2936664565 47.8937 1.43186 42.4048 1.95969 NA NA NA NA 520.795
e 84.2764143894 47.6546 0.282456 37.1514 0.161438 NA NA NA NA 351.433
g 105.933333802 52.9077 1.09775 44.467 0.155468 NA NA NA NA 266.476
e 94.4951977508 48.4879 0.992825 38.3428 0.119319 NA NA NA NA 368.626
m 93.6092224745 105.375 1.49014 20.3304 1.15132 NA NA NA NA 597.121
m 90.7750154239 43.7205 1.70613 43.3741 2.30077 NA NA NA NA 736.195
g 121.113593701 41.8608 1.39481 41.8151 0.607335 NA NA NA NA 557.035
m 89.1292810445 89.9078 0.366549 27.0435 1.11845 NA NA NA NA 541.554
e 103.244777019 53.2459 1.85717 50.2188 1.73738 NA NA NA NA 403.325
g 115.178485401 80.0619 1.6692 41.041 2.13899 NA NA NA NA 592.394
e 87.5478106201 50.5791 0.806488 36.2237 0.0952285 NA NA NA NA 236.167
g 156.346313656 60.8058 0.906366 45.3235 1.11667 NA NA NA NA 630.571
e 89.9704876028 44.9976 1.86366 37.3292 0.95842 NA NA NA NA 469.913
m 89.9970386643 74.17 2.0027 26.5366 1.38521 NA NA NA NA 406.076
g 146.150128332 80.5583 0.79744 55.803 1.65421 NA NA NA NA 584.455
e 90.311291097 46.3384 1.75316 41.3092 1.24678 NA NA NA NA 276.821
e 88.2306449523 34.6873 0.705591 29.3558 2.40373 NA NA NA NA 376.003
g 123.204113135 49.1912 0.548517 49.3197 0.840597 NA NA NA NA 976.246
m 89.1790166705 43.6505 0.487048 37.7798 0.391441 NA NA NA NA 642.446
g 100.096011792 76.5378 0.0895972 34.59 1.81 NA NA NA NA 768.547
e 68.9660022595 36.9936 0.193233 30.7312 0.642135 NA NA NA NA 485.934
m 9.90587110925 45.4791 2.3724 26.7767 2.52066 NA NA NA NA 384.414
e 92.9612040707 32.8766 0.400343 31.4854 2.22301 NA NA NA NA 446.251
e 87.8378172619 30.2269 0.29169 28.9637 1.63576 NA NA NA NA 321.639
m 96.2122904025 57.6633 1.50855 37.5807 0.972957 NA NA NA NA 320.412
m 91.9423624073 59.0436 1.17507 34.2062 0.685936 NA NA NA NA 209.69
