mass v1 v2 v3 v4 v5 v6 tag
mass tag
1609.09643394 4ee
90.8598121246 e
99.3737578677 m
1560.66365285 4me
92.9645584193 e
91.5742224322 m
1456.66045249 4me
92.3497472275 e
118.645665943 m
1445.54288666 4mm
92.3677618685 e
81.7280893015 m
1375.30655064 4me
91.6523706175 e
1495.59774986 4ee
1515.92022813 4ee
94.173579204 m
93.318589082 e
89.4331180601 e
1253.43520838 4mm
93.6922324253 e
91.097993497 m
1494.39764091 4me
82.7099822944 e
83.1335156152 m
1383.96896927 4me
1443.86683108 4mm
42.1382191198 e
86.2565371251 m
1187.02265583 4me
1390.51845429 4mm
1489.10630549 4mm
91.5905242317 e
91.888441645 e
83.7418051788 m
874.266791152 4me
1419.97978449 4mm
1319.61150414 4ee
1595.91278064 4ee
1399.1982917 4ee
92.3752029396 e
87.6396102998 m
1141.86517027 4me
88.95110611 e
95.9781494787 m
1504.10643612 4me
1599.54265798 4mm
63.3325618007 e
87.4324351486 m
1469.80672553 4me
1235.30158109 4mm
90.0495608488 m
91.7604777766 e
92.202369683 m
1388.78514551 4me
100.782196777 m
90.3378675032 e
86.8221330683 m
1452.657916 4me
176.20307247 g
103.00583637 m
1685.61661 4ee
24.9429329646 g
91.6335132059 m
1534.24393892 4mm
88.3601362545 e
109.216349873 m
1319.93017757 4me
131.803738692 m
90.1793503244 e
15.4268019747 m
1007.5827402 4me
63.5182053891 e
87.802763821 m
1030.81843417 4me
90.0107509273 e
77.7373330565 m
1559.5163821 4me
1525.33815238 4ee
88.3259313611 e
94.2071024608 m
1501.61808973 4me
110.035291031 e
83.2728367807 m
1309.57729154 4me
1469.13117896 4mm
89.7584954261 e
93.3757213247 m
1519.46460268 4me
95.2047360234 e
82.0307117879 m
1566.44181047 4me
92.6596061289 e
92.1664069658 m
1538.57852917 4me
90.0012576776 e
90.139027324 m
1589.52899288 4me
1340.39453604 4mm
93.2089692856 e
90.020816948 m
1305.48604944 4me
92.1235339455 e
88.4899316209 m
1452.33264344 4me
88.2380633144 m
92.5334145743 e
87.7326901673 m
1397.83065404 4me
84.3928918267 e
91.2083219845 m
1258.9544881 4me
1375.0516692 4ee
90.3715960652 e
96.6305889021 m
1537.34111761 4me
1548.07927557 4mm
89.9523404439 e
88.9710318169 m
1492.05996546 4me
91.6474902927 e
79.2187994968 m
1543.86563698 4me
1586.04364844 4mm
1439.5990634 4ee
1589.41642023 4ee
1421.51564345 4mm
91.3756549406 e
88.6039567677 m
1409.17193327 4me
92.1193131773 e
88.6154293256 m
1748.6212021 4me
92.6093248381 e
91.2240094293 m
1370.63933579 4me
1506.27314904 4mm
95.8714665427 e
86.3813943893 e
89.2052568199 m
1472.87558123 4me
91.4985823358 e
86.0511578285 m
1480.88595239 4me
102.530621693 m
1528.21489537 4ee
1184.17597673 4mm
1416.7050776 4mm
1941.20185014 4mm
1329.44146292 4mm
1641.8193838 4mm
90.3150352491 e
94.4851678202 m
1492.19312658 4me
1453.25518608 4mm
88.5646249626 e
94.648808241 m
1444.99801941 4me
1612.05895288 4ee
91.0604243483 e
85.8097211284 m
1289.93329125 4me
93.954337908 e
91.0632457703 m
1186.44237754 4me
90.7147994871 e
95.3541141164 m
1842.02546963 4me
90.6923012335 e
91.0540311982 e
87.7211655306 m
88.5427046166 e
1433.48704631 4ee
1655.06532773 4ee
97.3111414714 e
92.3253323022 m
1338.37241928 4me
88.991279819 e
93.638439353 m
1567.83817007 4me
86.5858915244 e
97.9717370698 m
1589.12371956 4me
95.592071477 e
1686.79298293 4ee
88.7831683084 e
90.7275066772 m
1166.71269442 4me
222.484306183 m
83.5171019375 m
83.2185923883 e
40.4318560282 m
1223.76571193 4mm
1331.56960903 4mm
94.0383837919 e
92.4381783667 m
1536.10106339 4me
1422.30365988 4mm
951.526502162 4mm
49.9440110092 e
83.859006959 m
1213.70000564 4me
93.2284481172 e
86.3833121037 m
1459.04367868 4me
90.9706576751 e
75.5321209837 m
1422.42767142 4me
92.3612715723 e
80.7355905375 m
1397.6588093 4me
1470.27579519 4mm
1476.34510689 4ee
92.2006577323 e
89.5891313155 m
1518.81735104 4me
1415.67205298 4mm
87.3128860747 e
87.8388145405 e
90.2092003079 m
1489.41455673 4me
89.5878569723 e
89.2585529993 m
1535.59118799 4me
92.4636215248 e
35.7165558678 e
102.156137002 m
1214.59662937 4me
1533.1564722 4mm
1673.92491958 4mm
1684.99849978 4ee
1380.13622672 4mm
1475.85156361 4ee
1425.17393179 4mm
1473.90958418 4ee
1383.74352888 4ee
129.429504306 g
92.4092371387 e
83.570738294 m
1437.04361279 4me
92.8954380896 e
87.8340957699 m
1448.61688155 4me
1427.28210807 4ee
1496.57288221 4ee
87.8393239668 e
1670.74977386 4mm
65.2503802824 e
89.8298885774 m
1529.09202473 4me
96.9619096793 e
90.3586928667 m
1481.61123206 4me
751.42009591 4mm
1365.00548867 4ee
